ad,BPIC12,BPIC13,BPIC15,BPIC17,Gigantic,Huge,Large,Medium,P2P,Paper,Small,Wide,real
BINetv1,0.6209437215864556,0.3980248731407509,0.3456847299278003,0.46888340292913944,0.7111377549135882,0.7130723504193229,0.7130739941585009,0.7344228822394252,0.767614810073703,0.7391841338270515,0.7724703138423588,0.7606354541424662,0.6000662312600906
BINetv2,0.606927135102072,0.3969960186693287,0.37506715284384906,0.43013996880916283,0.6795952269320257,0.7039730785635241,0.7102339439341927,0.7191550460697551,0.7679285086443424,0.7569277879306092,0.7746702032873554,0.7333427126292369,0.5513772318848886
BINetv3,0.664306784660767,0.4457158537960085,0.36231919130908014,0.488592795766141,0.6623115235206993,0.6928793923037211,0.692469776362816,0.7088213257056812,0.7692646353664667,0.7906239483523324,0.7624790323348408,0.7380139216706649,0.6347185768300458
DAE,0.5954702264886756,0.20678769572998304,0.0,0.29529347679954276,0.6273684706043618,0.7034651186617028,0.7126464657995485,0.7080753637786559,0.7077192607697521,0.46301552132425466,0.7157526215912311,0.6971569454051598,0.5185301744112482
Likelihood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Likelihood+,0.6248895316140435,0.44533150332704147,0.3290425974679786,0.3985664447308472,0.6652346781293685,0.6762357319760227,0.6222544980831379,0.6543821539657748,0.6105540072482509,0.6560080222099185,0.6882628765553729,0.6371592997727504,0.6297037379970918
Naive,0.5508008976243906,0.20883988717150828,0.17245654618528716,0.31321129708389017,0.33960019289839516,0.40383637212382845,0.4103083966906271,0.3870773308235702,0.4787451168876904,0.5,0.4902694053827964,0.43795760363998454,0.38500187721117474
Naive+,0.5508008976243906,0.20883988717150828,0.1730965991730574,0.27590543322770383,0.38323705823072757,0.45397541445614864,0.4902684429515849,0.4391996405395587,0.479733023111732,0.5,0.48831486863486756,0.46908116566506813,0.33197661460652533
OC-SVM,0.5452891960712987,0.2430084466045996,0.2554169071213028,0.35149605201799095,0.290640708493785,0.22786470870856784,0.2365622795438157,0.2888631005495038,0.2707473125291342,0.4857202530890764,0.24777025027164706,0.30601392145193096,0.29653673089962523
Sampling,0.545733278917601,0.2074050791767443,0.17246385365171968,0.3233757633610415,0.4456847987274953,0.4906022832870568,0.49437340652680367,0.4654172435204385,0.4900450785081024,0.4951579865810139,0.4915624446170694,0.4859063375600746,0.3949549493894607
t-STIDE+,0.677793673501828,0.31893191907488294,0.2868134594682186,0.3236872653248476,0.4059284489938955,0.4455309344760526,0.45281058032979304,0.429467166058558,0.5086268208793738,0.40350712921252796,0.5314871412471566,0.47072782764773347,0.3941345892615564
